title,source,link,price,imageUrl,rating,ratingCount,productId,position,device_category
Asus Vivobook 14 Laptop,Jarir Bookstore,"https://www.google.com/search?ibp=oshop&q=Laptop&prds=localAnnotatedOfferId:1,catalogid:3196437878238916967,pvo:2,pvt:hg,rds:PC_6027158597472037202%7CPROD_PC_6027158597472037202&gl=sa&udm=28&pvorigin=2","SAR 2,399.00",https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcS9eqeTg7Wnj3KkzLqJx2yfMEK0RzBsrT0vf8gwvrxAc47ateBrqKzevj8eF1kSiTkTvEm7NlmLFyb7n4BmQQKKpIccOE__XlCZ7A23_0YHwDByxlYj_-uS,4.8,18.0,3196437878238916967,1,laptops
Apple 13-inch MacBook Air M5 chip w 10-core CPU,Apple,"https://www.google.com/search?ibp=oshop&q=Laptop&prds=localAnnotatedOfferId:1,catalogid:928792239873370590,pvo:2,pvt:hg,rds:PC_6027158597472037202%7CPROD_PC_6027158597472037202&gl=sa&udm=28&pvorigin=2","SAR 5,999.00",https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRQ25qrmZlgKDWdfT_o9OAY6F96ES33GQUhJlOE9lCZg61Vqb3Pq1CPXVE35VqMAFX92MD1niJ-e6fnirYmiSHX4_gXRR-L1HDoa2RGaNXVo8dtp1ad3g3L2Zk,4.9,3000.0,928792239873370590,2,laptops
"MSI Cyborg 15 Gaming Laptop| 15.6"" FHD (1920*1080), 144Hz| IIntel Core 7 240H|16GB RAM| 512GB NVMePCIe SSD Gen4| NVIDIA GeForce RTX 5050 Laptop",Amazon.sa,"https://www.google.com/search?ibp=oshop&q=Laptop&prds=localAnnotatedOfferId:1,catalogid:14873670977167194347,pvo:2,pvt:hg,rds:PC_6027158597472037202%7CPROD_PC_6027158597472037202&gl=sa&udm=28&pvorigin=2","SAR 5,199.00",https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQIBaQcUZTy28fNs7oawI3d2d7mIqitDkJhs9urI2XympbSkJsRfwDiIAI0IbDI9-4ZW0W3chvJ-RK3XDIX4ckBUacWf8u6h-1PGMhxlvbULCvobId86eo7Hw,,,14873670977167194347,3,laptops
HP Victus Gaming Laptop,Jarir Bookstore,"https://www.google.com/search?ibp=oshop&q=Laptop&prds=localAnnotatedOfferId:1,catalogid:4900149311227313918,pvo:2,pvt:hg,rds:PC_6027158597472037202%7CPROD_PC_6027158597472037202&gl=sa&udm=28&pvorigin=2","SAR 4,699.00",https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRsLrE2BLHNwBnQvp_IR3yc7JqxHaRseQFY0p8F4gGdSkpKdp0ZJUPirwd6-WxfnU1ud8-qmUrDJ0E4fA2Z8ojHKpMBZi4eFNaJAYCkKwSp,4.0,8.0,4900149311227313918,4,laptops
"GIGABYTE gaming a16 cvh Laptop 16"" WUXGA IPS 165Hz Display Intel Core i7-13620H",طبيب الكمبيوتر,"https://www.google.com/search?ibp=oshop&q=Laptop&prds=localAnnotatedOfferId:1,catalogid:11786482177615330023,pvo:2,pvt:hg,rds:PC_6027158597472037202%7CPROD_PC_6027158597472037202&gl=sa&udm=28&pvorigin=2","SAR 5,399.00",https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcT3W-1v4NImv79lkHCPPURP4G8PNxXeN48ZMFHOs0i8T9zWlGmFtBp33qBH4r01Ep1Tf3zVr-Eau7WrBe_DFrydadhJWjwHCcieimwU--7pY8jTiZsmrmCE,,,11786482177615330023,5,laptops
تم تجديده - كمبيوتر محمول Latitude 7490 بشاشة Full HD مقاس 14 بوصة، ومعالج Core i7-8650U/الجيل الثامن/رباعي النواة/ذاكرة وصول عشوائي 8...,noon.com,"https://www.google.com/search?ibp=oshop&q=Laptop&prds=localAnnotatedOfferId:1,productid:16247080262126797043,pvo:2,pvt:hg,rds:PC_6027158597472037202%7CPROD_PC_6027158597472037202&gl=sa&udm=28&pvorigin=2","SAR 1,189.00",https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSMS3Sh15C1SrGYFRXtUHx3nil1MfUcJTakxjFn8QQWgzDEcyANm3L98ZC2od-5q9YN2EJNuUU3rkpRpyfFad6xC_VpgjahDBT0MBzcKkk,4.2,32.0,16247080262126797043,6,laptops
لاب توب لينوفو ايديا باد سليم 3 - كور أي 3 (IdeaPad Slim 3 15IAN8) 512 جيجا SSD رام 8 جيجا 15.6 بوصة,متجر الهدف,"https://www.google.com/search?ibp=oshop&q=Laptop&prds=localAnnotatedOfferId:1,productid:14927574607457592550,pvo:2,pvt:hg,rds:PC_6027158597472037202%7CPROD_PC_6027158597472037202&gl=sa&udm=28&pvorigin=2","SAR 1,799.15",https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcS6hyfVP6uTPkXlbF8yhNRtl3EKkT7UfqX-OYZ7M1Ac5lJ5nm02l-2R4Q7VSssTQKhsmc8YRbzP_u__S34LPx5yh99wsXQdeH3TCKYnvHCSvx0PxA5iVpiD,4.6,13.0,14927574607457592550,7,laptops
MSI Titan 18 Gaming Laptop,Jarir Bookstore,"https://www.google.com/search?ibp=oshop&q=Laptop&prds=localAnnotatedOfferId:1,catalogid:4528084896411429237,pvo:2,pvt:hg,rds:PC_6027158597472037202%7CPROD_PC_6027158597472037202&gl=sa&udm=28&pvorigin=2","SAR 24,999.00",https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSeCbsnoQ-tlPKl_EY6-Z8cTehJevYZxv99NmwIlOKf9y7mJbxsZSd-u3Fl0VNbHtPvKuGIvPcX7TANSTkgCO3ULvA_07yA4E_P2sLIt1ad,,,4528084896411429237,8,laptops
Lenovo ThinkPad E14 Gen 7 Intel Core Ultra 5 Laptop 35.6,mushtryati.com,"https://www.google.com/search?ibp=oshop&q=Laptop&prds=localAnnotatedOfferId:1,catalogid:6661901256989576361,pvo:2,pvt:hg,rds:PC_6027158597472037202%7CPROD_PC_6027158597472037202&gl=sa&udm=28&pvorigin=2","SAR 3,699.00",https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSpvN-Hoqf3Le8AAvwo3Iod_g7P5P8wsq6QIcepYA2TSVi64njnZGx88J7VbYcUhO_HyyP8rgJO70I7wFzVOaHa7jIQhooIFPmhXixktxGPgmKrliX11EYFPg,4.5,88.0,6661901256989576361,9,laptops
"Samsung Galaxy Book5 Pro 360 16"" WQXGA+ Amoled Display Intel Core Ultra 7 256V",Amazon.sa - Seller,"https://www.google.com/search?ibp=oshop&q=Laptop&prds=localAnnotatedOfferId:1,catalogid:11541397078756674443,pvo:2,pvt:hg,rds:PC_6027158597472037202%7CPROD_PC_6027158597472037202&gl=sa&udm=28&pvorigin=2","SAR 8,353.17",https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcT7wXcv82pfODWasvuWrFSnPgP9jSoSD1f1DubBDZVtptZfwaJ1ZHXseqrHY-Z8xErZAuWob8WSqbqHPikEls46qXCQf3nI8L-ZENNvSPaY3aJTrwQ8_PPm8A,4.5,828.0,11541397078756674443,10,laptops
"Laptop Dell Latitude 3420 Intel Core i7-1165G7 Processor, 8GB Ram, 512GB SSD M.2,",Golden Technology,"https://www.google.com/search?ibp=oshop&q=Laptop&prds=localAnnotatedOfferId:1,productid:16096564323860446494,pvo:2,pvt:hg,rds:PC_6027158597472037202%7CPROD_PC_6027158597472037202&gl=sa&udm=28&pvorigin=2","SAR 3,099.00",https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQZ7OLqAVSgbEz7LUiLh9aArNK0xGOWbW7UscgDlVFcCkOlZ8fCCIt5aOUdRYaUHuqgVNWB0wDlZid7Oq2lJIMAg98jvAbyU2w_zHcW1XghG5cHG_4BMi4HoA,,,16096564323860446494,11,laptops
MSI Crosshair 17 HX AI Gaming Laptop,Jarir Bookstore,"https://www.google.com/search?ibp=oshop&q=Laptop&prds=localAnnotatedOfferId:1,productid:2056332096946337992,pvo:2,pvt:hg,rds:PC_6027158597472037202%7CPROD_PC_6027158597472037202&gl=sa&udm=28&pvorigin=2","SAR 7,499.00",https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcT8Cck0U5ECjshD_K-oS4PsZ3ksR1hVX8kFBFIvow5D6mgZ0awF49WHbPYfI8IbAw_s3q0jD84kTAf0lRoxUrCaLjdZAMx323utj_0wo-Y,,,2056332096946337992,12,laptops
Lenovo IdeaPad Slim 3 15AMN8 Laptop AMD Ryzen 5-40 / 15.6inch FHD / 512GB SSD / 8GB RAM / Shared AMD Radeon 610M Graphics / Windows 11 Home,Sharaf DG Saudi Arabia,"https://www.google.com/search?ibp=oshop&q=Laptop&prds=localAnnotatedOfferId:1,catalogid:498083008900903597,pvo:2,pvt:hg,rds:PC_6027158597472037202%7CPROD_PC_6027158597472037202&gl=sa&udm=28&pvorigin=2","SAR 2,598.10",https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTJ-HCtipFUSlZuuqaBc8YKB00Ma47NLDJHFHikI6J__oRGpminj4jLjgbRhvGgqI0Frij6LEXzAzcSCMuMWWo6avxLnGQrHA,,,498083008900903597,13,laptops
