asin,product_title,product_price,product_original_price,currency,product_star_rating,product_num_ratings,product_url,product_photo,product_num_offers,product_minimum_offer_price,is_best_seller,is_amazon_choice,is_prime,climate_pledge_friendly,sales_volume,delivery,has_variations,coupon_text,product_badge,product_availability,book_format,product_byline,price_missing,has_discount
B0HDL4XK65,هواوي ميت بوك دي 16 2024 16 بوصة i5-13420H UMA 8GB SSD 512GB فضي ميستيك ويندوز 11 هوم,,,SAR,,0,https://www.amazon.sa/dp/B0HDL4XK65,https://m.media-amazon.com/images/I/51MQ6U7wSrL._AC_UL960_QL65_.jpg,1,,False,False,False,False,,توصيل مجاني السبت، 12 سبتمبرأو توصيل أسرع غداً، 11 سبتمبر,False,,,,,,True,False
B0H9LSMHWC,لابتوب 15.6 انش (جديد) بمعالج N95 رباعي النواة (حتى 3.4GHz) وذاكرة RAM DDR4 سعة 16GB وSSD 256GB وويندوز 11 برو من ايس ماجيك,,,SAR,4.4,223,https://www.amazon.sa/dp/B0H9LSMHWC,https://m.media-amazon.com/images/I/71fce3pQz-L._AC_UL960_QL65_.jpg,1,,False,False,False,False,,توصيل مجاني غداً، 11 سبتمبرأو توصيل أسرع غداً 1 م,False,"أنت تدفع ‏1,599.99 ريال باستخدام القسيمة",وفر 15%,,,,True,False
B0BHPZZLVG,ديل لابتوب لاتيتيود 5000 5420 (2021) | 14 انش HD | كور i5 - 512GB SSD - ذاكرة RAM 16GB | رباعي النواة @ 4.4GHz - وحدة المعالجة المركزية الجيل 11 ويندوز 11 برو (مجدد),,,SAR,3.0,2,https://www.amazon.sa/dp/B0BHPZZLVG,https://m.media-amazon.com/images/I/614L0tVSDrS._AC_UL960_QL65_.jpg,1,,False,False,False,False,,توصيل مجاني السبت، 12 سبتمبرأو توصيل أسرع غداً، 11 سبتمبر,False,,,,,,True,False
B0CRVF3GRR,لابتوب ايليت بوك 845 G8 للأعمال، شاشة 14 بوصة FHD (1920 × 1080)، معالج AMD رايزن 5 برو 5650U 2.3-4.2 جيجاهرتز، ذاكرة RAM 16 جيجابايت، SSD سعة تخزين 512 جيجابايت، ويندوز 10 برو، فضي (مجدد) من اتش بي,,,SAR,3.2,29,https://www.amazon.sa/dp/B0CRVF3GRR,https://m.media-amazon.com/images/I/71L9gIOsVVL._AC_UL960_QL65_.jpg,1,,False,False,False,False,,توصيل مجاني الخميس، 17 سبتمبر,False,,,,,,True,False
B0D2YDZWC1,لينوفو لابتوب 2 في 1 للطلاب الجيل الثالث 500 واط بشاشة لمس HD 11.6 انش ومعالج انتل بنتيوم سيلفر N6000 وذاكرة RAM 8GB وSSD 128GB وHDMI وكاميرا ويب وقارئ بطاقات MicroSD ولوحة لمس وواي فاي 6 وويندوز 11,715.24,851.16,SAR,3.9,13,https://www.amazon.sa/dp/B0D2YDZWC1,https://m.media-amazon.com/images/I/71JucJmjm5L._AC_UL960_QL65_.jpg,1,606.95,False,False,False,False,,توصيل مجاني الخميس، 17 سبتمبر,False,,,,,,False,True
B0H9LLHGNT,لابتوب محمول 15.6 انش ويندوز 11 برو وذاكرة RAM 16GB وSSD 256GB وشاشة FHD 1080P ومعالج 3855U وكيبورد باضاءة خلفية وقارئ بصمات اصابع وUSB 3.0 وبطارية 5000mAh للعمل والمدرسة,997.99,997.99,SAR,,0,https://www.amazon.sa/dp/B0H9LLHGNT,https://m.media-amazon.com/images/I/81d0QmDqUyL._AC_UL960_QL65_.jpg,1,997.99,False,False,False,False,,توصيل مجاني الاثنين، 28 سبتمبريشحن من خارج السعودية,False,,,,,,False,False
B08928KC6X,لابتوب لينوفو ثينك باد T490 بمعالج انتل كور i5-8365U وذاكرة رام 16GB ومحرك أقراص SSD 256GB وشاشة 14 بوصة بدقة FHD وواي فاي وبلوتوث وكاميرا ونظام تشغيل ويندوز 11 برو ولوحة مفاتيح (QWERTZ)-(مجدد),,,SAR,3.5,72,https://www.amazon.sa/dp/B08928KC6X,https://m.media-amazon.com/images/I/61Nepr+fofL._AC_UL960_QL65_.jpg,1,,False,False,False,False,,توصيل مجاني السبت، 12 سبتمبرأو توصيل أسرع غداً، 11 سبتمبرتبقى 1 فقط - اطلبه الآن.,False,,,تبقى 1 فقط - اطلبه الآن.,,,True,False
B0GR6FZ77W,لابتوب آبل ماك بوك نيو 2026 13 بوصة شريحة A18 برو شاشة ليكويد ريتينا مصممة لذكاء اصطناعي وذكاء آبل وذاكرة موحدة 8 جيجابايت ووسيط تخزين ذو حالة ثابتة 256 جيجابايت، إنجليزي، زهري,,,SAR,4.2,33,https://www.amazon.sa/dp/B0GR6FZ77W,https://m.media-amazon.com/images/I/61MxIxzYvUL._AC_UL960_QL65_.jpg,1,,False,False,False,False,,توصيل مجاني اليوم 6:13 م,True,,,,,,True,False
B0DZZWMB2L,لابتوب ألعاب أسوس روج ستريكس G16 (2025)، شاشة 16 بوصة FHD+ 16:10 165هرتز/3 ميلي ثانية، وحدة معالجة رسومات انفيديا جيفورس RTX 5060، معالج انتل كور i7 14650HX، 16 جيجا DDR5، واي فاي 7، ويندوز 11 هوم,,,SAR,4.5,559,https://www.amazon.sa/dp/B0DZZWMB2L,https://m.media-amazon.com/images/I/81n1T4CYfmL._AC_UL960_QL65_.jpg,1,,False,False,False,False,,توصيل مجاني سبتمبر 13 - 14تبقى 1 فقط - اطلبه الآن.,False,,,تبقى 1 فقط - اطلبه الآن.,,,True,False
B07G66MSRH,لينوفو الترا بوك اكس 1 كربون الجيل السادس: كور i7-8550U، ذاكرة رام 16 جيجابايت، هارد SSD 512 جيجابايت، شاشة FHD مقاس 14 بوصة، كيبورد باضاءة خلفية (مجدد),,,SAR,3.6,218,https://www.amazon.sa/dp/B07G66MSRH,https://m.media-amazon.com/images/I/61s575vLZsL._AC_UL960_QL65_.jpg,1,,False,False,False,False,,توصيل مجاني غداً، 11 سبتمبرأو توصيل أسرع غداً 1 متبقى 1 فقط - اطلبه الآن.,False,,,تبقى 1 فقط - اطلبه الآن.,,,True,False
