product_title_ksa,product_title_us,price_ksa_sar,price_us_usd,price_us_in_sar,price_diff_sar,price_diff_percent,match_score
"حافظة حماية من موكو لآيباد الجيل العاشر 10.9 بوصة 2022، بتصميم حافظة وغطاء مصنوعة من جلد PU وبولي كربونات بلون أزرق ستاري سكاي | For iPad 11/10.9 Inch Case 2025/2022, Slim Stand Hard PC Translucent Back Shell Smart Cover,Support Touch ID,Auto Wake/Sleep","MoKo for iPad (A16) 11th Generation Case, iPad 10th Gen Case, Navy Blue | For iPad 11/10.9 Inch Case 2025/2022, Slim Stand Hard PC Translucent Back Shell Smart Cover,Support Touch ID,Auto Wake/Sleep ClimatePartner certified",49.94,9.95,37.31,12.63,33.84,0.69
"حافظة خلفية واقية ورفيعة ومتينة وذكية بتصميم قائم من برو كيس متوافقة مع ايباد الجيل الـ 10 اصدار 2022 مقاس 10.9 انش - لون رمادي | Slim Smart Cover with Translucent Hard Shell Back, Touch ID and Auto Wake/Sleep for iPad A16 11th Gen 2025 and 10th Gen 2022","MoKo for iPad (A16) 11th Generation Case, iPad 10th Gen Case, Navy Blue | For iPad 11/10.9 Inch Case 2025/2022, Slim Stand Hard PC Translucent Back Shell Smart Cover,Support Touch ID,Auto Wake/Sleep ClimatePartner certified",49.99,9.95,37.31,12.68,33.98,0.63
لوحة مفاتيح ماجيك لجهاز ايباد اير 11 بوصة (M3) من ابل - بلغة انجليزية عالمية - لون أبيض​​​​​​,"Apple iPad Air, 2025 with M3 Chip (11-inch, Wi-Fi, 128GB) - Purple (Renewed)",949.0,589.0,2208.75,-1259.75,-57.03,0.46
كومفيابل حافظة تابلت متوافقة مع ايباد اير 11 انش M3 2025 وايباد برو 11 انش M5 2025 وكيبورد ذكي/ماجيك مع حامل قلم - شنطة جلد البولي يوريثين - حافظة رفيعة مقاومة للماء - بني,"Apple iPad Air, 2025 with M3 Chip (11-inch, Wi-Fi, 128GB) - Purple (Renewed)",119.99,589.0,2208.75,-2088.76,-94.57,0.44
حافظة سمارت فوليو لجهاز ايباد اير 11 بوصة (M2) من ابل - رمادي فحمي​​​​​​,"Apple 2024 iPad Air, 11-inch, Wi-Fi, 128GB - Starlight (Renewed)",379.0,459.95,1724.81,-1345.81,-78.03,0.42
حافظة كيبورد عربية قابلة للدوران 360 درجة لايباد 10.2 انش الجيل التاسع 2021/الجيل الثامن 2020/الجيل السابع 2019/اير 3/برو 10.5 انش مع لوحة تحكم باللمس ذكية متعددة اللمس، كيبورد باضاءة خلفية 11 لون,"2019 Apple iPad Air (10.5-inch, WiFi, 256GB) - Gold (Renewed)",179.0,249.0,933.75,-754.75,-80.83,0.4
تابلت اندرويد 15 للاطفال مع حافظة، تابلت 10 انش للاطفال، 8GB RAM 32GB ROM 1TB قابلة للتوسيع بطارية طويلة 6000mAh، شاشة HD IPS، كاميرا مزدوجة، تحكم ابوي، تابلت تعليمي، زهري,Android Tablet 10 Inch Tablet With Case Stylus Android 15 Tablets 8GB RAM 32GB ROM Support 1TB Expansion 6000mah Battery 10.1&quot; IPS HD Touchscreen 2MP+8MP Dual Camera WIFI-6 Bluetooth5.0 Tablets,294.07,59.99,224.96,69.11,30.72,0.39
تابلت اندرويد 15 10 انش 12GB RAM + 64GB ROM/1TB اكسبند، معالج رباعي النواة 1.8GHz، تابلت 2 في 1 مع كيبورد/حافظة/ماوس/قلم رصاص، شاشة IPS HD 1280×800,"Tablet Android 16 10 Inch 12GB RAM+64GB ROM/ 1TB Expandable, 1280 * 800 HD Touch Screen, 5G WiFi6 BT 5.0, 2 in 1 Tab with Keyboard Case Mouse Stylus (Pink)",344.47,62.99,236.21,108.26,45.83,0.39
"حافظة حماية من موكو لآيباد 10.2 بوصة الجيل 7 و 8 و 9، حافظة مصنوعة من بولي كربونات و جلد PU و مايكروفايبر بلون ووتر كلر | Slim Stand Hard Back Shell Smart Cover Case with Translucent Frosted Back ,Auto Wake/Sleep ,Fit iPad 10.2 Inch 2021/2020/2019","MoKo for iPad (A16) 11th Generation Case, iPad 10th Gen Case, Navy Blue | For iPad 11/10.9 Inch Case 2025/2022, Slim Stand Hard PC Translucent Back Shell Smart Cover,Support Touch ID,Auto Wake/Sleep ClimatePartner certified",49.94,9.95,37.31,12.63,33.84,0.38
سبكيس حافظة لجهاز ايباد برو 11 انش M4 2024 الجيل الخامس مع حامل قلم (يونيكورن بيتل برو)، [واقي شاشة مدمج وحامل] غطاء متين لكامل الجسم (اركتيك، ايباد برو 11),"Apple iPad Pro 2024 (11-inch, Wi-Fi, 256GB) - Space Black (Renewed)",130.0,849.0,3183.75,-3053.75,-95.92,0.38
