asin,product_title,product_price,product_original_price,currency,product_star_rating,product_num_ratings,product_url,product_photo,product_num_offers,product_minimum_offer_price,is_best_seller,is_amazon_choice,is_prime,climate_pledge_friendly,sales_volume,delivery,has_variations,product_badge,product_availability,coupon_text,book_formats,unit_price,unit_count,book_format,product_byline,price_missing,has_discount,market,source,position,device_category
B0HDC9Q8Q6,"Lenovo Essential 15.6&quot; FHD Everyday Laptop, Intel Processor, 128GB Storage | Long Battery Life, Anti-Glare Display, Office 365, Copilot AI, WiFi 6, Bluetooth 5.2, USB-C, Win 11",348.8,399.99,USD,4.3,937.0,https://www.amazon.com/dp/B0HDC9Q8Q6,https://m.media-amazon.com/images/I/7186l2+FihL._AC_UY654_QL65_.jpg,1.0,348.8,False,False,False,False,1K+ bought in past month,"FREE delivery Sat, Sep 12Or fastest delivery Tomorrow, Sep 11",False,Limited time deal,,,,,,,,False,True,US,,,
B0H72JH23T,"HP 14 inch laptop, Intel N150 processor, 4GB DDR5 RAM, 128GB SSD | 2026-2027 edition, 1 TB cloud storage, Windows 11 with Microsoft 365",299.99,819.99,USD,5.0,1.0,https://www.amazon.com/dp/B0H72JH23T,https://m.media-amazon.com/images/I/71Gi75BxnXL._AC_UY654_QL65_.jpg,2.0,249.99,False,False,False,False,200+ bought in past month,"FREE delivery Tomorrow, Sep 11",False,Limited time deal,,,,,,,,False,True,US,,,
B0GTB65VP3,"HP 14 inch Laptop, 2026-2027 Edition, Intel N150 CPU, 4GB DDR5 RAM, 128GB SSD, 1TB Cloud Storage, Windows 11 with Microsoft 365",299.99,649.99,USD,4.4,20.0,https://www.amazon.com/dp/B0GTB65VP3,https://m.media-amazon.com/images/I/71GdIQeWqyL._AC_UY654_QL65_.jpg,2.0,249.99,False,False,False,False,500+ bought in past month,"FREE delivery Tomorrow, Sep 11",False,Limited time deal,,,,,,,,False,True,US,,,
B0HG365ZZV,"HP 17 Inch FHD Laptop Computer for Business &amp; Students 32GB RAM 1TB SSD | AMD R5 7430U Processor, 17.3 inch FHD IPS Display, Windows 11 Pro, Copilot AI Key, Fast Charging, Wi-Fi 6",899.99,899.99,USD,5.0,11.0,https://www.amazon.com/dp/B0HG365ZZV,https://m.media-amazon.com/images/I/71MLzBM0ikL._AC_UY654_QL65_.jpg,1.0,899.99,False,False,False,False,,"FREE delivery Tomorrow, Sep 11Only 10 left in stock - order soon.",False,Limited time deal,Only 10 left in stock - order soon.,,,,,,,False,False,US,,,
B0H7M7M6Z5,"HP New Everyday Slim Laptop, AMD Processor, 4GB DDR5 RAM, 128GB SSD, Long Battery Life, Microsoft 365, Thin &amp; Portable, Windows 11",299.99,299.99,USD,4.3,15.0,https://www.amazon.com/dp/B0H7M7M6Z5,https://m.media-amazon.com/images/I/61bRTRL3cgL._AC_UY654_QL65_.jpg,2.0,259.99,False,False,False,False,500+ bought in past month,"FREE delivery Tomorrow, Sep 11",False,,,,,,,,,False,False,US,,,
B0GQB1LPTR,"HP OmniBook 3 17.3 inch Laptop PC, FHD Display, AMD Ryzen 3 30, 8 GB RAM, 512 GB SSD, AMD Radeon 610M Graphics, Windows 11 Home, Mica Silver, 17-dp0199nr",436.99,436.99,USD,4.4,221.0,https://www.amazon.com/dp/B0GQB1LPTR,https://m.media-amazon.com/images/I/71qW8R8vytL._AC_UY654_QL65_.jpg,19.0,436.99,False,False,False,False,1K+ bought in past month,,False,,,,,,,,,False,False,US,,,
B09SVSBVP1,"HP Chromebook 14 Laptop, Intel Celeron N4120, 4 GB RAM, 64 GB eMMC, 14&quot; HD Display, Chrome OS, Thin Design, 4K Graphics, Long Battery Life, Ash Gray Keyboard (14a-na0226nr, 2022, Mineral Silver)",224.95,224.95,USD,4.3,3091.0,https://www.amazon.com/dp/B09SVSBVP1,https://m.media-amazon.com/images/I/71tXLOE7wIL._AC_UY654_QL65_.jpg,18.0,179.99,False,False,True,False,1K+ bought in past month,"Join Prime to get FREE delivery Today 7 AM - 11 AMOr Non-members get FREE delivery Tue, Sep 15",False,,,,,,,,,False,False,US,,,
B0G78Y2ZG8,"15.6-inch laptop,8GB DDR 256GB SSD expandable to 1TB,portable laptop computer, AMD CPU up to 3.2 GHz, Numeric Keypad,10000mAh battery,USB3.0 interface,WiFi5,BT4.2, webcam, Type-C,Numpad,slim laptops",259.99,259.99,USD,4.3,30.0,https://www.amazon.com/dp/B0G78Y2ZG8,https://m.media-amazon.com/images/I/71yW3RB-FRL._AC_UY654_QL65_.jpg,1.0,259.99,False,False,True,False,New on Amazon in past month,"Join Prime to get FREE delivery Today 5 PM - 10 PMOr Non-members get FREE delivery Tue, Sep 15",False,,,,,,,,,False,False,US,,,
B0GV5CFSJX,"HP 14” Ultra Light Thin Laptop Computer 2026 Premium, MS Office, Copilot AI, 4-Core Intel CPU, 4GB DDR5 RAM, 628GB Storage (128GB UFS+500GB Ext), Long Battery, MarxsolAccessory, Win 11 Pro, Lavender",299.0,299.0,USD,4.2,82.0,https://www.amazon.com/dp/B0GV5CFSJX,https://m.media-amazon.com/images/I/71c5uM6vfGL._AC_UY654_QL65_.jpg,1.0,299.0,False,False,False,False,200+ bought in past month,"FREE delivery Sep 16 - 18Or fastest delivery Tomorrow, Sep 11",True,,,,,,,,,False,False,US,,,
B0H98WVSZX,"15.6&quot; Laptop, 8GB RAM 256GB Storage, Celeron N4000 (up to 2.6GHz) 100% sRGB Screen, MS Office 2024, Win11 Pro Notebook Computer, Dual Band Wi-Fi, BT5.0, USB-A, Long Battery Life, Silver",229.99,259.99,USD,4.8,12.0,https://www.amazon.com/dp/B0H98WVSZX,https://m.media-amazon.com/images/I/71XG+zWIXZL._AC_UY654_QL65_.jpg,1.0,229.99,False,False,True,False,,"Join Prime to get FREE delivery Tomorrow, Sep 11Or Non-members get FREE delivery Tue, Sep 15",False,,,,,,,,,False,True,US,,,
